Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H,,,,,,,
1027,501,V,Boston,21,30,21,23,95,187.5,183.5,170,90.5,,,,,,,
1027,502,H,Cleveland,28,17,20,24,89,4.5,5,-200,4.5,,,,,,,
1027,503,V,Washington,21,35,21,25,102,205,210,320,107,,,,,,,
1027,504,H,Dallas,21,29,24,17,91,8.5,8.5,-400,8,,,,,,,
1027,505,V,Houston,23,18,15,31,87,187.5,188,400,93.5,,,,,,,
1027,506,H,Portland,23,31,21,21,96,10,9,-500,1.5,,,,,,,
1027,507,V,LAClippers,22,27,26,17,92,208,202,625,102,,,,,,,
1027,508,H,LALakers,32,27,17,23,99,10,12,-850,3.5,,,,,,,
1028,701,V,Philadelphia,27,20,22,37,106,194,194.5,450,0.5,,,,,,,
1028,702,H,Orlando,29,41,30,20,120,8,10,-600,96.5,,,,,,,
1028,703,V,Indiana,32,33,29,15,109,211,206,300,103.5,,,,,,,
1028,704,H,Atlanta,29,37,29,25,120,6.5,7.5,-370,4,,,,,,,
1028,705,V,Cleveland,22,17,32,20,91,5.5,7.5,-325,8.5,,,,,,,
1028,706,H,Toronto,27,30,21,23,101,191,194,265,97.5,,,,,,,
1028,707,V,Charlotte,13,18,10,18,59,185,183,500,91,,,,,,,
1028,708,H,Boston,22,20,25,25,92,10.5,10,-700,2.5,,,,,,,
1028,709,V,NewYork,23,24,15,31,93,211,206,180,102.5,,,,,,,
1028,710,H,Miami,27,29,34,25,115,6,5,-220,pk,,,,,,,
1028,711,V,Detroit,24,29,18,25,96,2,1.5,-125,95,,,,,,,
1028,712,H,Memphis,20,21,16,17,74,185,191,105,2.5,,,,,,,
1028,713,V,Sacramento,22,29,17,21,89,207,204.5,250,1,,,,,,,
1028,714,H,OklahomaCity,39,29,21,13,102,7.5,6.5,-300,101,,,,,,,
1028,715,V,NewOrleans,13,26,29,28,96,184,187.5,400,93.5,,,,,,,
1028,716,H,SanAntonio,19,38,31,25,113,8.5,9.5,-525,pk,,,,,,,
1028,717,V,NewJersey,25,30,23,15,93,199.5,2,-130,97,,,,,,,
1028,718,H,Minnesota,21,22,21,31,95,2,194,110,2.5,,,,,,,
1028,719,V,Utah,30,25,25,25,105,210,208.5,185,105.5,,,,,,,
1028,720,H,Denver,23,31,28,32,114,6.5,5,-225,4.5,,,,,,,
1028,721,V,Houston,26,26,35,21,108,216,213,190,105.5,,,,,,,
1028,722,H,GoldenState,28,34,19,26,107,6.5,5.5,-230,pk,,,,,,,
1028,723,V,Phoenix,24,29,24,32,109,222,2.5,-145,2.5,,,,,,,
1028,724,H,LAClippers,31,22,26,28,107,1,217,125,107,,,,,,,
1029,501,V,SanAntonio,23,23,18,21,85,4.5,3.5,-150,3,,,,,,,
1029,502,H,Chicago,22,25,27,18,92,194,193,130,96.5,,,,,,,
1029,503,V,Denver,24,18,20,35,97,199,201,270,99.5,,,,,,,
1029,504,H,Portland,17,26,24,27,94,6,7,-330,4.5,,,,,,,
1030,701,V,Milwaukee,18,29,20,19,86,196,191.5,220,95.5,,,,,,,
1030,702,H,Philadelphia,23,18,35,23,99,8,6,-260,5,,,,,,,
1030,703,V,NewYork,13,24,18,27,100,197.5,196,105,3.5,,,,,,,
1030,704,H,Charlotte,32,19,18,13,102,2.5,1.5,-125,96.5,,,,,,,
1030,705,V,Washington,24,20,22,23,89,203,202.5,220,1.5,,,,,,,
1030,706,H,Atlanta,29,29,17,25,100,6.5,6,-260,103.5,,,,,,,
1030,707,V,Chicago,17,18,26,29,90,189,187.5,600,93.5,,,,,,,
1030,708,H,Boston,21,29,38,30,118,11,11.5,-900,2,,,,,,,
1030,709,V,OklahomaCity,16,22,24,29,91,192.5,190,180,93,,,,,,,
1030,710,H,Detroit,24,21,16,22,83,6.5,5,-220,1,,,,,,,
1030,711,V,Miami,28,21,30,17,96,210,213,105,106.5,,,,,,,
1030,712,H,Indiana,16,31,16,20,83,1.5,1.5,-125,1,,,,,,,
