Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
1225,501,V,Boston,23,29,35,17,104,195.5,189,185,1
1225,502,H,NewYork,34,28,17,27,106,5,4.5,-210,95.5
1225,503,V,Miami,32,30,35,8,105,3.5,4.5,-210,95
1225,504,H,Dallas,17,24,24,29,94,190.5,190,185,3
1225,505,V,Chicago,22,34,12,20,88,1.5,5,-245,1
1225,506,H,LALakers,20,29,20,18,87,186,183.5,205,92
1225,507,V,Orlando,22,19,22,26,89,197,194.5,310,96
1225,508,H,OklahomaCity,27,28,26,16,97,7.5,7.5,-380,0.5
1225,509,V,LAClippers,24,17,34,30,105,4,4.5,-200,4.5
1225,510,H,GoldenState,20,23,25,18,86,212,209,175,103.5
1226,701,V,NewJersey,13,24,29,24,90,191.5,189,145,0.5
1226,702,H,Washington,26,19,22,17,84,4.5,3.5,-165,93
1226,703,V,Milwaukee,27,25,14,29,95,180.5,4,-175,89
1226,704,H,Charlotte,19,22,30,25,96,pk,178,155,1
1226,705,V,Houston,23,27,23,22,95,201,194.5,225,95
1226,706,H,Orlando,27,26,24,27,104,5.5,6.5,-265,3
1226,707,V,Toronto,23,29,26,26,104,198.5,194,110,95
1226,708,H,Cleveland,23,19,28,26,96,3.5,2,-130,3.5
1226,709,V,Detroit,17,21,20,21,79,198,192,325,95
1226,710,H,Indiana,26,26,24,15,91,7,8,-400,0.5
1226,711,V,OklahomaCity,23,29,26,26,104,6,5.5,-230,1.5
1226,712,H,Minnesota,24,22,26,28,100,209,206.5,190,101
1226,713,V,Denver,32,37,28,18,115,202.5,200.5,170,96.5
1226,714,H,Dallas,23,19,26,25,93,5,4.5,-200,8.5
1226,715,V,Memphis,22,22,14,24,82,196,193,175,96
1226,716,H,SanAntonio,14,29,29,23,95,5.5,5,-210,3.5
1226,717,V,NewOrleans,23,24,15,23,85,195,191.5,220,94.5
1226,718,H,Phoenix,20,21,24,19,84,7,6,-260,4.5
1226,719,V,LALakers,20,20,24,27,91,3.5,3,-145,4.5
1226,720,H,Sacramento,21,28,29,22,100,200,193.5,125,95.5
1226,721,V,Philadelphia,15,29,28,31,103,189,187,170,92.5
1226,722,H,Portland,26,22,29,30,107,4.5,5,-200,2
1226,723,V,Chicago,22,19,20,30,91,5.5,6.5,-300,7.5
1226,724,H,GoldenState,30,27,21,21,99,197,190.5,250,95
1227,501,V,Atlanta,28,24,25,29,106,5,4,-175,86.5
1227,502,H,NewJersey,11,19,25,15,70,184,176.5,155,3.5
1227,503,V,Boston,27,27,29,24,107,187,187,450,94.5
1227,504,H,Miami,30,39,22,24,115,11,9.5,-600,1.5
1227,505,V,Minnesota,30,18,20,27,95,192,192.5,200,1
1227,506,H,Milwaukee,32,28,19,19,98,6,5.5,-240,97
1227,507,V,Sacramento,25,21,19,14,79,196,196.5,350,97.5
1227,508,H,Portland,23,23,28,27,101,8,8.5,-450,6
1227,509,V,Utah,17,14,15,25,71,188.5,188.5,200,pk
1227,510,H,LALakers,18,23,30,25,96,6,5.5,-240,93.5
1228,701,V,Indiana,18,20,25,27,90,2.5,4,-175,1.5
1228,702,H,Toronto,11,23,21,30,85,195,193.5,155,94.5
1228,703,V,Miami,20,25,24,27,96,11,11,-800,11.5
1228,704,H,Charlotte,32,28,10,25,95,185,195,600,97.5
1228,705,V,Washington,17,25,22,19,83,186,185.5,375,92.5
